City,Category,Price
Mumbai,"Meal, Inexpensive Restaurant",500.00 ₹
Mumbai,"Meal for 2 People, Mid-range Restaurant, Three-course","2,000.00 ₹"
Mumbai,McMeal at McDonalds (or Equivalent Combo Meal),400.00 ₹
Mumbai,Domestic Beer (0.5 liter draught),200.00 ₹
Mumbai,Imported Beer (0.33 liter bottle),350.00 ₹
Mumbai,Cappuccino (regular),231.26 ₹
Mumbai,Coke/Pepsi (0.33 liter bottle),54.90 ₹
Mumbai,Water (0.33 liter bottle),15.89 ₹
Mumbai,"Milk (regular), (1 liter)",64.85 ₹
Mumbai,Loaf of Fresh White Bread (500g),45.58 ₹
Mumbai,"Rice (white), (1kg)",71.19 ₹
Mumbai,Eggs (regular) (12),91.99 ₹
Mumbai,Local Cheese (1kg),581.82 ₹
Mumbai,Chicken Fillets (1kg),331.03 ₹
Mumbai,Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),608.13 ₹
Mumbai,Apples (1kg),206.80 ₹
Mumbai,Banana (1kg),68.64 ₹
Mumbai,Oranges (1kg),111.78 ₹
Mumbai,Tomato (1kg),56.42 ₹
Mumbai,Potato (1kg),45.73 ₹
Mumbai,Onion (1kg),50.70 ₹
Mumbai,Lettuce (1 head),63.90 ₹
Mumbai,Water (1.5 liter bottle),29.48 ₹
Mumbai,Bottle of Wine (Mid-Range),750.00 ₹
Mumbai,Domestic Beer (0.5 liter bottle),187.47 ₹
Mumbai,Imported Beer (0.33 liter bottle),285.17 ₹
Mumbai,Cigarettes 20 Pack (Marlboro),360.00 ₹
Mumbai,One-way Ticket (Local Transport),20.00 ₹
Mumbai,Monthly Pass (Regular Price),400.00 ₹
Mumbai,Taxi Start (Normal Tariff),30.00 ₹
Mumbai,Taxi 1km (Normal Tariff),30.00 ₹
Mumbai,Taxi 1hour Waiting (Normal Tariff),120.00 ₹
Mumbai,Gasoline (1 liter),104.53 ₹
Mumbai,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,500,000.00 ₹"
Mumbai,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"2,158,521.74 ₹"
Mumbai,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","4,487.63 ₹"
Mumbai,Mobile Phone Monthly Plan with Calls and 10GB+ Data,410.79 ₹
Mumbai,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",798.94 ₹
Mumbai,"Fitness Club, Monthly Fee for 1 Adult","2,057.07 ₹"
Mumbai,Tennis Court Rent (1 Hour on Weekend),"1,088.46 ₹"
Mumbai,"Cinema, International Release, 1 Seat",400.00 ₹
Mumbai,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","10,061.63 ₹"
Mumbai,"International Primary School, Yearly for 1 Child","325,757.58 ₹"
Mumbai,1 Pair of Jeans (Levis 501 Or Similar),"2,509.68 ₹"
Mumbai,"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,449.97 ₹"
Mumbai,1 Pair of Nike Running Shoes (Mid-Range),"4,742.11 ₹"
Mumbai,1 Pair of Men Leather Business Shoes,"3,486.06 ₹"
Mumbai,Apartment (1 bedroom) in City Centre,"59,735.74 ₹"
Mumbai,Apartment (1 bedroom) Outside of Centre,"30,761.87 ₹"
Mumbai,Apartment (3 bedrooms) in City Centre,"159,534.88 ₹"
Mumbai,Apartment (3 bedrooms) Outside of Centre,"73,256.41 ₹"
Mumbai,Price per Square Meter to Buy Apartment in City Centre,"610,451.15 ₹"
Mumbai,Price per Square Meter to Buy Apartment Outside of Centre,"263,062.43 ₹"
Mumbai,Average Monthly Net Salary (After Tax),"71,641.03 ₹"
Mumbai,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",9.15
Delhi,"Meal, Inexpensive Restaurant",400.00 ₹
Delhi,"Meal for 2 People, Mid-range Restaurant, Three-course","1,800.00 ₹"
Delhi,McMeal at McDonalds (or Equivalent Combo Meal),325.00 ₹
Delhi,Domestic Beer (0.5 liter draught),180.00 ₹
Delhi,Imported Beer (0.33 liter bottle),300.00 ₹
Delhi,Cappuccino (regular),179.48 ₹
Delhi,Coke/Pepsi (0.33 liter bottle),43.19 ₹
Delhi,Water (0.33 liter bottle),14.11 ₹
Delhi,"Milk (regular), (1 liter)",66.25 ₹
Delhi,Loaf of Fresh White Bread (500g),50.02 ₹
Delhi,"Rice (white), (1kg)",77.91 ₹
Delhi,Eggs (regular) (12),98.02 ₹
Delhi,Local Cheese (1kg),404.00 ₹
Delhi,Chicken Fillets (1kg),310.91 ₹
Delhi,Buffalo Round (1kg) (or Equivalent Back Leg Red Meat),471.62 ₹
Delhi,Apples (1kg),182.27 ₹
Delhi,Banana (1kg),70.80 ₹
Delhi,Oranges (1kg),86.98 ₹
Delhi,Tomato (1kg),53.00 ₹
Delhi,Potato (1kg),34.86 ₹
Delhi,Onion (1kg),44.40 ₹
Delhi,Lettuce (1 head),50.80 ₹
Delhi,Water (1.5 liter bottle),29.79 ₹
Delhi,Bottle of Wine (Mid-Range),900.00 ₹
Delhi,Domestic Beer (0.5 liter bottle),161.76 ₹
Delhi,Imported Beer (0.33 liter bottle),239.23 ₹
Delhi,Cigarettes 20 Pack (Marlboro),350.00 ₹
Delhi,One-way Ticket (Local Transport),40.00 ₹
Delhi,Monthly Pass (Regular Price),"1,000.00 ₹"
Delhi,Taxi Start (Normal Tariff),50.00 ₹
Delhi,Taxi 1km (Normal Tariff),22.50 ₹
Delhi,Taxi 1hour Waiting (Normal Tariff),105.00 ₹
Delhi,Gasoline (1 liter),98.56 ₹
Delhi,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"1,450,000.00 ₹"
Delhi,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"2,056,490.56 ₹"
Delhi,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","5,841.09 ₹"
Delhi,Mobile Phone Monthly Plan with Calls and 10GB+ Data,370.60 ₹
Delhi,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",726.79 ₹
Delhi,"Fitness Club, Monthly Fee for 1 Adult","1,881.43 ₹"
Delhi,Tennis Court Rent (1 Hour on Weekend),835.67 ₹
Delhi,"Cinema, International Release, 1 Seat",400.00 ₹
Delhi,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","6,767.65 ₹"
Delhi,"International Primary School, Yearly for 1 Child","195,555.56 ₹"
Delhi,1 Pair of Jeans (Levis 501 Or Similar),"2,388.37 ₹"
Delhi,"1 Summer Dress in a Chain Store (Zara, H&M, ...)","2,887.88 ₹"
Delhi,1 Pair of Nike Running Shoes (Mid-Range),"4,507.67 ₹"
Delhi,1 Pair of Men Leather Business Shoes,"3,276.92 ₹"
Delhi,Apartment (1 bedroom) in City Centre,"20,395.35 ₹"
